timestamp_ms,power_W
1759977313999,18.14
1759977314133,14.58
1759977315046,10.39
1759977315198,9.87
1759977316085,9.51
1759977316245,9.57
1759977317125,9.31
1759977317293,9.30
1759977318197,9.08
1759977318355,9.11
1759977319243,9.38
1759977319418,9.47
1759977320289,9.21
1759977320483,9.36
1759977321356,9.50
1759977321522,9.42
1759977322398,9.34
1759977322590,9.17
1759977323440,9.36
1759977323630,9.49
1759977324479,9.38
1759977324667,9.31
1759977325516,9.23
1759977325702,9.16
1759977326553,9.29
1759977326740,9.26
1759977327592,9.44
1759977327776,9.38
1759977328631,9.05
1759977328813,9.06
1759977329671,9.10
1759977329854,9.21
1759977330709,9.32
1759977330897,9.36
1759977331748,9.23
1759977331940,9.15
1759977332785,9.38
1759977332973,9.36
1759977333823,9.47
1759977334011,9.49
1759977334859,9.10
1759977335048,9.14
1759977335898,9.31
1759977336084,9.43
1759977336936,9.31
1759977337119,9.21
1759977337973,9.03
1759977338158,9.01
1759977339011,9.37
1759977339194,9.37
1759977340050,9.23
1759977340230,9.30
1759977341087,9.09
1759977341268,9.03
1759977342125,9.39
1759977342304,9.31
1759977343164,9.52
1759977343340,9.57
1759977344201,9.42
1759977344379,9.68
1759977345243,9.63
1759977345415,9.53
1759977346281,9.27
1759977346454,9.52
1759977347321,9.48
1759977347491,9.58
1759977348363,9.10
1759977348527,9.02
1759977349401,9.35
1759977349566,9.37
1759977350440,9.33
1759977350604,9.28
1759977351478,9.02
1759977351640,9.16
1759977352516,9.30
1759977352676,9.19
1759977353553,9.28
1759977353712,9.35
1759977354591,9.04
1759977354747,9.07
1759977355628,9.25
1759977355779,9.22
1759977356666,9.55
1759977356818,9.58
1759977357703,9.37
1759977357858,9.47
1759977358743,9.61
1759977358900,9.62
1759977359781,9.19
1759977359937,9.21
1759977360821,9.64
1759977360981,9.62
1759977361858,9.19
1759977362016,9.22
1759977362896,9.33
1759977363052,9.31
1759977363934,9.41
1759977364090,9.29
1759977364971,9.01
1759977365125,9.07
1759977366009,9.24
1759977366161,9.34
1759977367048,9.09
1759977367198,9.19
1759977368086,9.39
1759977368236,9.45
1759977369124,9.54
1759977369272,9.45
1759977370162,9.22
1759977370309,9.38
1759977371199,9.35
1759977371347,9.27
1759977372240,9.54
1759977372385,9.52
1759977373277,9.46
1759977373420,9.58
1759977374318,9.50
1759977374458,9.39
1759977375354,9.01
1759977375494,9.19
1759977376392,9.41
1759977376532,9.33
1759977377430,9.28
1759977377569,9.23
1759977378467,9.01
1759977378603,9.08
1759977379504,9.32
1759977379638,9.28
1759977380542,9.35
1759977380680,9.35
1759977381580,9.28
1759977381713,9.18
1759977382617,9.00
1759977382749,8.93
1759977383656,11.60
1759977383786,12.34
1759977384703,14.12
1759977384836,13.13
1759977385742,12.25
1759977385876,12.53
1759977386783,11.80
1759977386913,11.50
1759977387824,11.16
1759977387962,11.30
1759977388868,10.71
1759977389000,10.58
1759977389910,10.36
1759977390043,10.27
1759977390948,9.93
1759977391084,10.00
1759977391986,9.84
1759977392127,9.57
1759977393024,9.45
1759977393165,9.31
1759977394062,9.80
1759977394201,9.76
1759977395099,8.03
1759977395234,8.08
1759977396139,8.02
1759977396274,8.01
1759977397175,7.94
1759977397305,7.94
1759977398211,7.24
1759977398336,7.24
1759977399243,7.23
1759977399367,7.23
1759977400278,7.22
1759977400401,7.22
1759977401311,7.22
1759977401432,7.22
1759977402346,7.45
1759977402467,7.53
1759977403382,7.56
1759977403498,7.56
1759977404420,7.41
1759977404537,7.24
1759977405459,7.24
1759977405576,7.21
1759977406498,7.21
1759977406615,7.29
1759977407536,7.25
1759977407653,7.25
1759977408576,7.24
1759977408692,7.24
1759977409615,7.91
1759977409733,7.96
1759977410652,7.19
1759977410771,7.19
1759977411690,7.26
1759977411810,7.26
1759977412728,7.33
1759977412848,7.33
1759977413769,7.31
1759977413888,7.31
1759977414807,7.31
1759977414928,7.31
1759977415849,7.28
1759977415968,7.45
1759977416887,7.78
1759977417006,7.78
1759977417923,7.30
1759977418045,7.30
1759977418961,7.30
1759977419084,7.30
1759977420000,7.39
