ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.133961,0.400,7,1920.29
1,off,6,0.143893,0.200,7,1718.09
2,off,6,0.136300,0.400,7,391.26
3,off,6,0.141002,0.200,7,1728.79
4,off,6,0.147737,0.200,7,398.86
5,off,6,0.131067,0.200,7,1742.11
6,off,6,0.124471,0.200,7,393.85
7,off,6,0.124084,0.200,7,1729.90
8,off,6,0.148041,0.200,7,402.29
9,off,6,0.128662,0.400,7,1742.34
10,off,6,0.131143,0.200,7,397.25
11,off,6,0.149717,0.000,7,1745.77
12,off,6,0.123544,0.200,7,396.15
13,off,6,0.151362,0.200,7,1743.29
14,off,6,0.145837,0.400,7,397.77
15,off,6,0.134502,0.400,7,1725.26
16,off,6,0.157680,0.000,7,390.01
17,off,6,0.143156,0.200,7,1714.44
18,off,6,0.133992,0.400,7,388.32
19,off,6,0.133773,0.200,7,1711.59
20,off,6,0.160362,0.000,7,389.21
21,off,6,0.125181,0.200,7,1721.85
22,off,6,0.136746,0.400,7,392.67
23,off,6,0.142854,0.400,7,1717.76
24,off,6,0.152411,0.200,7,390.06
25,off,6,0.126564,0.200,7,1711.32
26,off,6,0.144009,0.400,7,389.01
27,off,6,0.129134,0.200,7,1712.55
28,off,6,0.136050,0.400,7,389.07
29,off,6,0.141216,0.200,7,1708.78
30,off,6,0.124559,0.400,7,391.43
31,off,6,0.142745,0.200,7,1715.39
32,off,6,0.134939,0.200,7,390.75
33,off,6,0.130840,0.200,7,1714.07
34,off,6,0.153627,0.200,7,390.52
35,off,6,0.140345,0.200,7,1713.70
36,off,6,0.166844,0.200,7,389.62
37,off,6,0.149003,0.200,7,1716.86
38,off,6,0.132425,0.400,7,390.08
39,off,6,0.140179,0.200,7,1712.30
40,off,6,0.150126,0.200,7,390.15
41,off,6,0.132917,0.200,7,1711.71
42,off,6,0.141222,0.200,7,409.74
43,off,6,0.114327,0.400,7,1711.20
44,off,6,0.141805,0.400,7,389.32
45,off,6,0.161535,0.200,7,1710.46
46,off,6,0.135984,0.200,7,392.74
47,off,6,0.130031,0.200,7,1711.68
48,off,6,0.136630,0.200,7,389.50
49,off,6,0.144392,0.200,7,1711.07
50,off,6,0.138883,0.200,7,389.69
51,off,6,0.143646,0.200,7,1713.33
52,off,6,0.169839,0.200,7,389.91
53,off,6,0.143032,0.400,7,1711.60
54,off,6,0.147207,0.200,7,390.32
55,off,6,0.136107,0.200,7,1716.01
56,off,6,0.124455,0.200,7,390.35
57,off,6,0.139874,0.200,7,1710.43
