ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,fepgate,6,0.171351,0.200,7,4368.25
1,fepgate,6,0.188668,0.000,7,2283.27
2,fepgate,6,0.180167,0.000,7,2256.62
3,fepgate,6,0.206198,0.200,7,2291.40
4,fepgate,6,0.193388,0.000,7,2249.20
5,fepgate,6,0.174821,0.400,7,2289.02
6,fepgate,6,0.198615,0.000,7,2287.13
7,fepgate,6,0.170363,0.200,7,2308.49
8,fepgate,6,0.203100,0.000,7,2228.90
9,fepgate,6,0.147660,0.200,2,2275.89
10,fepgate,6,0.172048,0.200,7,2247.30
11,fepgate,6,0.163953,0.200,7,2275.60
12,fepgate,6,0.168512,0.200,7,2239.87
13,fepgate,6,0.180348,0.200,7,2293.48
14,fepgate,6,0.199010,0.000,7,2248.63
15,fepgate,6,0.182044,0.200,7,2293.20
16,fepgate,6,0.207080,0.200,7,2252.30
17,fepgate,6,0.199261,0.200,7,2274.59
18,fepgate,6,0.191459,0.200,7,2240.19
19,fepgate,6,0.188116,0.200,7,2278.18
20,fepgate,6,0.185698,0.200,7,2247.14
21,fepgate,6,0.169123,0.200,7,2280.57
22,fepgate,6,0.166381,0.400,7,2252.20
23,fepgate,6,0.185672,0.000,7,2278.90
24,fepgate,6,0.185156,0.000,7,2284.49
25,fepgate,6,0.170301,0.000,7,2285.98
26,fepgate,6,0.172538,0.200,7,2247.47
27,fepgate,6,0.164247,0.200,2,2281.03
28,fepgate,6,0.178364,0.200,7,2240.46
29,fepgate,6,0.162704,0.200,7,2304.15
30,fepgate,6,0.167633,0.200,2,2253.33
31,fepgate,6,0.193165,0.200,7,2276.77
32,fepgate,6,0.216803,0.400,7,2258.74
33,fepgate,6,0.196914,0.000,7,2279.44
34,fepgate,6,0.240004,0.000,7,2255.70
35,fepgate,6,0.218302,0.200,7,2279.27
36,fepgate,6,0.165182,0.000,7,2253.53
37,fepgate,6,0.169927,0.200,7,2285.77
38,fepgate,6,0.191148,0.000,7,2264.99
39,fepgate,6,0.189923,0.000,7,2301.56
40,fepgate,6,0.177667,0.200,7,2284.11
41,fepgate,6,0.145017,0.200,7,2293.61
42,fepgate,6,0.194006,0.200,7,2266.87
43,fepgate,6,0.170293,0.200,7,2302.28
44,fepgate,6,0.187998,0.000,7,2256.05
45,fepgate,6,0.175149,0.200,7,2294.09
46,fepgate,6,0.181411,0.200,7,2263.92
47,fepgate,6,0.187848,0.000,7,2291.28
48,fepgate,6,0.179421,0.000,7,2240.08
49,fepgate,6,0.171729,0.400,7,2275.83
50,fepgate,6,0.166048,0.200,7,2247.30
51,fepgate,6,0.182923,0.000,7,2277.75
52,fepgate,6,0.188851,0.000,7,2237.99
53,fepgate,6,0.196373,0.200,7,2274.83
54,fepgate,6,0.194986,0.200,7,2236.17
55,fepgate,6,0.202682,0.200,7,2278.66
56,fepgate,6,0.184590,0.000,7,2241.34
57,fepgate,6,0.196334,0.000,7,2275.20
58,fepgate,6,0.178809,0.200,7,2248.88
59,fepgate,6,0.182331,0.200,7,2275.76
60,fepgate,6,0.180872,0.200,7,2258.80
61,fepgate,6,0.181859,0.200,7,2297.07
62,fepgate,6,0.155899,0.200,2,2259.61
63,fepgate,6,0.193691,0.000,7,2299.48
64,fepgate,6,0.182276,0.200,7,2274.10
65,fepgate,6,0.177915,0.200,7,2286.90
66,fepgate,6,0.164211,0.400,7,2265.98
67,fepgate,6,0.183386,0.000,7,2279.98
68,fepgate,6,0.172162,0.200,7,2244.62
69,fepgate,6,0.187059,0.000,7,2291.08
70,fepgate,6,0.184887,0.000,7,2242.88
71,fepgate,6,0.180534,0.200,2,2274.83
72,fepgate,6,0.164737,0.200,7,2242.40
73,fepgate,6,0.188392,0.200,7,2285.38
74,fepgate,6,0.209104,0.000,7,2240.50
75,fepgate,6,0.183702,0.200,7,2277.40
76,fepgate,6,0.187229,0.200,7,2270.66
77,fepgate,6,0.194516,0.200,7,2272.85
78,fepgate,6,0.189730,0.000,1,2247.08
79,fepgate,6,0.153918,0.200,7,2283.77
80,fepgate,6,0.157504,0.200,7,2242.92
81,fepgate,6,0.205395,0.000,7,2272.63
82,fepgate,6,0.182646,0.200,7,2252.67
83,fepgate,6,0.217744,0.200,7,2274.27
84,fepgate,6,0.189999,0.200,7,2246.97
85,fepgate,6,0.183061,0.200,7,2285.94
86,fepgate,6,0.226737,0.200,7,2250.39
87,fepgate,6,0.208902,0.200,7,2281.82
88,fepgate,6,0.179384,0.200,7,2254.39
89,fepgate,6,0.171702,0.200,7,2278.07
90,fepgate,6,0.179766,0.200,7,2253.20
91,fepgate,6,0.169532,0.200,7,2285.51
92,fepgate,6,0.185722,0.200,7,2252.87
93,fepgate,6,0.167294,0.200,7,2282.65
94,fepgate,6,0.194484,0.000,7,2261.00
95,fepgate,6,0.163882,0.200,7,2275.07
96,fepgate,6,0.151565,0.000,7,2252.30
97,fepgate,6,0.168701,0.200,7,2288.13
98,fepgate,6,0.186301,0.200,7,2241.76
99,fepgate,6,0.176956,0.200,7,2277.69
