timestamp_ms,power_W
1759962346960,8.70
1759962347406,8.94
1759962348007,8.90
1759962348451,8.68
1759962349052,8.61
1759962349494,8.98
1759962350097,11.36
1759962350557,11.84
1759962351168,12.38
1759962351628,11.86
1759962352238,12.22
1759962352673,13.53
1759962353306,10.66
1759962353718,8.73
1759962354349,9.94
1759962354787,11.62
1759962355415,10.56
1759962355855,11.37
1759962356480,12.65
1759962356925,10.31
1759962357535,9.87
1759962357997,16.83
1759962358598,34.26
1759962359056,41.59
1759962359636,40.30
1759962360091,34.34
1759962360673,17.75
1759962361131,12.05
1759962361713,11.22
1759962362171,11.25
1759962362753,12.02
1759962363242,12.58
1759962363819,12.28
1759962364313,11.67
1759962364893,10.29
1759962365385,9.57
1759962365939,9.30
1759962366453,9.10
1759962366987,9.65
1759962367493,9.79
1759962368054,9.12
1759962368563,8.51
1759962369099,8.48
1759962369607,8.84
1759962370145,9.51
1759962370677,9.73
1759962371191,9.70
1759962371723,9.23
1759962372236,8.89
1759962372769,10.22
1759962373281,11.97
1759962373840,12.65
1759962374350,12.44
1759962374910,11.09
1759962375416,9.52
1759962375956,11.57
1759962376462,13.71
1759962377031,12.30
1759962377531,12.54
1759962378106,14.43
1759962378602,15.36
1759962379156,13.55
1759962379679,11.95
1759962380224,9.74
1759962380746,10.48
1759962381296,10.06
1759962381820,9.15
1759962382345,9.65
1759962382884,9.85
1759962383413,9.82
1759962383955,9.55
1759962384489,8.85
1759962384996,8.85
1759962385554,9.00
1759962386073,9.14
1759962386599,9.23
1759962387121,9.05
1759962387645,12.02
1759962388190,16.68
1759962388699,15.08
1759962389265,11.41
1759962389745,11.85
1759962390334,14.99
1759962390820,14.74
1759962391408,11.27
1759962391891,8.95
1759962392458,9.16
1759962392942,10.28
1759962393531,10.20
1759962394009,9.16
1759962394576,9.57
1759962395051,9.68
1759962395620,9.33
1759962396117,9.31
1759962396692,9.00
1759962397167,9.35
1759962397736,10.94
1759962398235,12.28
1759962398807,11.82
1759962399303,10.11
1759962399852,9.05
1759962400349,9.34
1759962400901,9.11
1759962401392,8.68
1759962401947,8.68
1759962402433,8.73
1759962402991,8.63
1759962403477,8.62
1759962404036,9.04
1759962404523,9.10
1759962405107,8.73
1759962405567,8.66
1759962406152,8.66
1759962406639,8.70
1759962407197,8.70
1759962407679,9.25
1759962408267,9.05
1759962408723,8.78
1759962409311,8.77
1759962409767,8.80
1759962410357,9.31
1759962410837,9.11
1759962411403,8.97
1759962411881,8.97
1759962412449,8.21
1759962412928,8.21
1759962413495,8.26
1759962413998,8.77
1759962414541,9.49
1759962415044,8.82
1759962415584,8.69
1759962416082,8.27
1759962416631,8.44
1759962417120,8.85
1759962417704,9.05
1759962418165,9.35
1759962418748,9.12
1759962419233,8.94
1759962419794,9.68
1759962420302,9.48
1759962420863,9.18
1759962421933,8.76
1759962422977,9.58
1759962424046,9.45
1759962425091,9.07
1759962426137,8.49
1759962427183,8.54
1759962428228,8.70
1759962429274,8.63
1759962430319,8.65
1759962431364,8.76
1759962432408,8.50
1759962433464,8.72
1759962434510,8.56
1759962435581,8.68
1759962436627,8.48
1759962437669,8.53
1759962438721,15.11
1759962439800,13.62
1759962440845,11.48
1759962441915,11.02
1759962442981,8.46
1759962444023,11.70
1759962445073,14.12
1759962446147,11.63
1759962447194,8.96
1759962448239,10.01
1759962449282,11.01
1759962450353,9.93
1759962451398,9.70
1759962452444,8.77
1759962453492,12.25
1759962454563,10.76
1759962455608,8.98
1759962456654,8.65
1759962457699,8.60
1759962458745,8.95
1759962459816,8.38
1759962460863,8.63
1759962461908,8.47
1759962462952,8.51
1759962463998,11.93
1759962465044,8.61
1759962466090,10.96
1759962467166,10.29
1759962468212,8.57
1759962469256,11.89
1759962470327,10.03
1759962471392,9.61
1759962472443,11.66
1759962473489,8.81
1759962474534,8.66
1759962475579,8.83
1759962476624,8.71
1759962477668,8.63
1759962478715,8.61
1759962479760,8.73
1759962480831,8.53
1759962481879,8.49
1759962482926,8.64
1759962483971,8.44
1759962485016,8.82
1759962486062,8.74
1759962487107,8.57
1759962488151,8.62
1759962489196,8.61
1759962490241,8.54
1759962491286,8.60
1759962492331,8.65
1759962493376,8.48
1759962494432,8.52
1759962495477,8.70
1759962496522,8.52
1759962497568,8.48
1759962498617,8.57
1759962499662,8.59
1759962500708,8.56
1759962501751,8.57
1759962502797,8.56
1759962503842,8.71
1759962504887,8.60
1759962505932,8.48
1759962506977,8.78
1759962508023,8.49
1759962509067,8.57
1759962510112,8.61
1759962511157,8.04
1759962512200,8.01
1759962513243,7.97
1759962514286,8.30
1759962515330,8.37
1759962516378,8.02
1759962517427,8.03
1759962518474,8.05
1759962519522,8.03
1759962520569,8.03
1759962521615,8.33
1759962522660,8.43
1759962523712,7.93
1759962524759,7.92
1759962525808,7.95
1759962526854,7.97
1759962527901,8.01
1759962528949,8.48
1759962529995,8.02
1759962531040,12.94
1759962532089,13.48
1759962533136,13.08
1759962534190,12.25
1759962535234,11.59
1759962536289,10.02
1759962537338,9.65
