ep,mode,steps,final_err_m,monotonicity,steps_to_tol,avg_latency_ms
0,off,6,0.123424,0.200,7,1923.72
1,off,6,0.130277,0.200,7,1725.76
2,off,6,0.145961,0.200,7,388.05
3,off,6,0.146048,0.200,7,1726.08
4,off,6,0.141055,0.400,7,389.69
5,off,6,0.116665,0.200,7,1723.20
6,off,6,0.148797,0.200,7,386.43
7,off,6,0.154901,0.000,7,1722.81
8,off,6,0.135470,0.200,7,389.41
9,off,6,0.159526,0.200,7,1722.72
10,off,6,0.135964,0.400,7,385.58
11,off,6,0.148035,0.400,7,1720.00
12,off,6,0.139569,0.200,7,389.04
13,off,6,0.149421,0.400,7,1721.94
14,off,6,0.145688,0.200,7,385.26
15,off,6,0.135982,0.200,7,1721.32
16,off,6,0.130112,0.200,7,390.90
17,off,6,0.157684,0.200,7,1721.84
18,off,6,0.146053,0.200,7,385.97
19,off,6,0.166143,0.000,7,1727.02
20,off,6,0.137479,0.200,7,389.10
21,off,6,0.120247,0.400,7,1723.20
22,off,6,0.121647,0.200,7,388.10
23,off,6,0.137834,0.200,7,1721.75
24,off,6,0.150608,0.200,7,383.56
25,off,6,0.155349,0.200,7,1724.31
26,off,6,0.132162,0.200,7,388.21
27,off,6,0.153464,0.200,7,1719.34
28,off,6,0.150916,0.200,7,382.83
29,off,6,0.150588,0.200,7,1720.71
30,off,6,0.145347,0.200,7,389.48
31,off,6,0.135580,0.200,7,1726.24
32,off,6,0.145972,0.200,7,383.14
33,off,6,0.142667,0.400,7,1723.96
34,off,6,0.122205,0.200,7,389.35
35,off,6,0.130327,0.400,3,1723.36
36,off,6,0.133597,0.400,7,383.79
37,off,6,0.143853,0.200,7,1730.99
38,off,6,0.152612,0.200,7,388.10
39,off,6,0.133080,0.400,7,1720.50
40,off,6,0.138333,0.200,7,383.97
41,off,6,0.118478,0.400,7,1721.88
42,off,6,0.131037,0.200,7,387.28
43,off,6,0.138628,0.200,7,1720.56
44,off,6,0.155844,0.200,7,383.27
45,off,6,0.135936,0.200,7,1721.84
46,off,6,0.148687,0.200,7,388.79
47,off,6,0.165469,0.200,7,1719.88
48,off,6,0.149868,0.400,7,382.65
49,off,6,0.160549,0.200,7,1719.89
50,off,6,0.144929,0.200,7,388.75
51,off,6,0.147736,0.200,7,1721.24
52,off,6,0.130606,0.200,7,382.89
53,off,6,0.134753,0.200,7,1720.17
54,off,6,0.143057,0.200,7,390.79
55,off,6,0.153616,0.200,7,1721.72
56,off,6,0.151120,0.200,7,384.55
57,off,6,0.139302,0.400,7,1724.57
58,off,6,0.127094,0.400,3,388.68
59,off,6,0.145039,0.200,7,1720.48
60,off,6,0.135779,0.200,7,386.64
61,off,6,0.136051,0.400,7,1723.82
62,off,6,0.142223,0.200,7,389.24
63,off,6,0.152969,0.200,7,1726.28
64,off,6,0.149378,0.400,7,383.71
65,off,6,0.140882,0.200,7,1723.35
66,off,6,0.126145,0.200,7,385.82
67,off,6,0.134745,0.200,7,1723.68
68,off,6,0.140029,0.200,7,386.73
69,off,6,0.151159,0.200,7,1739.44
70,off,6,0.160171,0.000,7,387.01
71,off,6,0.142353,0.200,7,1737.23
72,off,6,0.150531,0.200,7,392.28
73,off,6,0.144480,0.400,7,1728.00
74,off,6,0.149012,0.400,7,393.93
75,off,6,0.143581,0.200,7,1731.85
76,off,6,0.137143,0.200,7,386.98
77,off,6,0.139226,0.200,7,1707.61
78,off,6,0.145845,0.200,7,387.33
79,off,6,0.143886,0.200,7,1708.98
80,off,6,0.132159,0.400,7,386.15
81,off,6,0.115694,0.600,7,1707.13
82,off,6,0.139289,0.400,7,388.26
83,off,6,0.134162,0.200,7,1708.21
84,off,6,0.127177,0.200,7,386.71
85,off,6,0.147764,0.400,7,1708.11
86,off,6,0.137461,0.200,7,389.17
87,off,6,0.140862,0.400,7,1709.74
88,off,6,0.128761,0.200,7,390.24
89,off,6,0.128983,0.200,7,1710.33
90,off,6,0.147231,0.200,7,390.92
91,off,6,0.133754,0.200,7,1710.61
92,off,6,0.151368,0.200,7,393.34
93,off,6,0.127063,0.400,7,1710.34
94,off,6,0.155705,0.200,7,391.08
95,off,6,0.121514,0.400,7,1716.54
96,off,6,0.135631,0.200,7,385.63
97,off,6,0.152991,0.200,7,1709.00
98,off,6,0.151159,0.200,7,388.47
99,off,6,0.116747,0.400,7,1707.16
100,off,6,0.148851,0.000,7,386.91
101,off,6,0.146696,0.400,7,1704.97
102,off,6,0.148799,0.400,7,385.13
103,off,6,0.157276,0.000,7,1705.13
